community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_acald_e	1.0	0.41	1	0.41	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_arg__L_e	1.0	0.06	1	0.06	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_glyald_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_glyc_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_h_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_indole_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_lac__L_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_o2_e	1.0	1.0	1	1.0	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_rib__D_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Microterricola_viridarii_ERGS5_02_	M_xyl__D_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_4hbz_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_acald_e	1.0	0.41	1	0.41	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_actn__R_e	1.0	0.53	1	0.53	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_alaala_e	1.0	0.03	1	0.03	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_arg__L_e	1.0	0.06	1	0.06	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_cgly_e	1.0	0.9	1	0.9	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_etoh_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_fe2_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_glu__L_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_glyc_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_gua_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_h2s_e	1.0	0.12	1	0.12	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_h_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_indole_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_ins_e	1.0	0.06	1	0.06	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_lac__L_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Erwinia_gerundensis_	Pseudomonas_putida_PA14H7_	M_rib__D_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_arg__L_e	1.0	0.04	1	0.04	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_cu2_e	1.0	1.0	1	1.0	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_fe2_e	1.0	0.1	1	0.1	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_fe3_e	1.0	0.92	1	0.92	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_fe3pyovd_kt_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_g3pe_e	1.0	0.58	1	0.58	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_glyald_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_glyc3p_e	1.0	0.02	1	0.02	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_h2o_e	1.0	0.01	1	0.01	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
all	minimal	Microterricola_viridarii_ERGS5_02_	Erwinia_gerundensis_	M_pi_e	1.0	0.42	1	0.42	1024.SH007.C6.RH.5.185.flw.6.11.G1.L00
