community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_LalaDgluMdapDala_e	1.0	0.04	1	0.04	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_acald_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_bz_e	1.0	1.0	1	1.0	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_etoh_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_fe2_e	1.0	0.22	1	0.22	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_fe3_e	1.0	0.03	1	0.03	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_fe3pyovd_kt_e	1.0	0.75	1	0.75	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_h2s_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_h_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_indole_e	1.0	0.01	1	0.01	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_lys__L_e	1.0	0.08	1	0.08	1222.B5.5.7.06
all	minimal	Colwellia_aestuarii_KCTC_12480_	Halocynthiibacter_arcticus_PAMC_20958_	M_pi_e	1.0	0.04	1	0.04	1222.B5.5.7.06
all	minimal	Dokdonia_pacifica_DSM_25597_	Colwellia_aestuarii_KCTC_12480_	M_acald_e	0.5142857142857142	0.57	1	0.2931428571428571	1222.B5.5.7.06
