community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_acald_e	1.0	0.01	1	0.01	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_fe3pyovd_kt_e	1.0	0.44	1	0.44	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_glc__D_e	1.0	0.03	1	0.03	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_glyc_e	1.0	0.02	1	0.02	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_h2o_e	1.0	0.02	1	0.02	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_h2s_e	1.0	0.04	1	0.04	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_h_e	1.0	0.02	1	0.02	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_o2_e	1.0	1.0	1	1.0	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_orn_e	1.0	0.01	1	0.01	1673.MBS0428.5
all	minimal	Acidovorax_soli_DSM_25157_	Streptococcus_cristatus_AS_1_3089_	M_ura_e	1.0	0.01	1	0.01	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_fe2_e	0.0769230769230769	0.23	1	0.0176923076923076	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_fe3pyovd_kt_e	0.0769230769230769	0.77	1	0.0592307692307692	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_gthrd_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_h2s_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_istfrnA_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_lys__L_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_no2_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_pi_e	0.0769230769230769	0.05	1	0.0038461538461538	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_s_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Acidovorax_soli_DSM_25157_	M_stfrnA_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_arab__L_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_arg__L_e	0.0769230769230769	0.02	1	0.0015384615384615	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_cu2_e	0.0769230769230769	1.0	1	0.0769230769230769	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_fe2_e	0.0769230769230769	0.23	1	0.0176923076923076	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	0.0769230769230769	0.77	1	0.0592307692307692	1673.MBS0428.5
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_glc__D_e	0.0769230769230769	0.01	1	0.0007692307692307	1673.MBS0428.5
