community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_4hbz_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_LalaDgluMdapDala_e	1.0	0.16	1	0.16	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_LalaDgluMdap_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_acald_e	1.0	0.03	1	0.03	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_ala__D_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_alaala_e	1.0	0.03	1	0.03	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_anhgm_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_arg__L_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_asp__L_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_cgly_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_cys__L_e	1.0	0.28	1	0.28	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_etoh_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_fe2_e	1.0	0.26	1	0.26	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_fe3pyovd_kt_e	1.0	0.74	1	0.74	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_gthrd_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_h2s_e	1.0	0.24	1	0.24	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_o2_e	1.0	0.71	1	0.71	1721.B26B
all	minimal	Comamonas_testosteroni_TK102_	Mitsuaria_chitosanitabida_NBRC_102408_	M_s_e	1.0	0.17	1	0.17	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_acald_e	1.0	0.04	1	0.04	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_cgly_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_fe2_e	1.0	0.09	1	0.09	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_fe3_e	1.0	0.92	1	0.92	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_gthrd_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_h2s_e	1.0	0.03	1	0.03	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_h_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_met__L_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_nh4_e	1.0	0.02	1	0.02	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_pi_e	1.0	0.36	1	0.36	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_s_e	1.0	0.03	1	0.03	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_trp__L_e	1.0	0.01	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_acald_e	0.5	0.04	1	0.02	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_cgly_e	0.5	0.01	1	0.005	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_fe2_e	0.5	0.09	1	0.045	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_fe3_e	0.5	0.92	1	0.46	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_fe3pyovd_kt_e	0.5	0.01	1	0.005	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_gthrd_e	0.5	0.02	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_h2s_e	0.5	0.03	1	0.015	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_h_e	0.5	0.01	1	0.005	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_nh4_e	0.5	0.02	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_o2_e	0.5	1.0	1	0.5	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_s_e	0.5	0.03	1	0.015	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_trp__L_e	0.5	0.01	1	0.005	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Mitsuaria_chitosanitabida_NBRC_102408_	M_ura_e	0.5	0.01	1	0.005	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_acald_e	0.25	0.04	1	0.01	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_cgly_e	0.25	0.01	1	0.0025	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_cu2_e	0.25	1.0	1	0.25	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_fe2_e	0.25	0.09	1	0.0225	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_fe3_e	0.25	0.92	1	0.23	1721.B26B
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pedobacter_nyackensis_DSM_19625_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1721.B26B
