community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_3gmp_e	1.0	0.49	1	0.49	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_fe3pyovd_kt_e	1.0	0.57	1	0.57	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_h2s_e	1.0	0.03	1	0.03	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_h_e	1.0	1.0	1	1.0	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_lys__L_e	1.0	0.04	1	0.04	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_nh4_e	1.0	0.05	1	0.05	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_o2_e	1.0	1.0	1	1.0	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_pi_e	1.0	0.51	1	0.51	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_rib__D_e	1.0	0.06	1	0.06	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_s_e	1.0	0.02	1	0.02	1721.B27T
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Delftia_acidovorans_SPH_1_	M_val__L_e	1.0	0.01	1	0.01	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Corynebacterium_fournierii_Marseille_P2948_	M_fe3pyovd_kt_e	1.0	0.14	1	0.14	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Corynebacterium_fournierii_Marseille_P2948_	M_h2s_e	1.0	0.52	1	0.52	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Corynebacterium_fournierii_Marseille_P2948_	M_nh4_e	1.0	0.01	1	0.01	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Corynebacterium_fournierii_Marseille_P2948_	M_pi_e	1.0	1.0	1	1.0	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Delftia_acidovorans_SPH_1_	M_cellb_e	1.0	0.15	1	0.15	1721.B27T
all	minimal	Granulicatella_adiacens_ATCC_49175_	Delftia_acidovorans_SPH_1_	M_fe3pyovd_kt_e	1.0	0.14	1	0.14	1721.B27T
