community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_4hbz_e	1.0	0.01	1	0.01	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_acald_e	1.0	0.04	1	0.04	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_ala__D_e	1.0	0.02	1	0.02	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_ala__L_e	1.0	0.02	1	0.02	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_alaala_e	1.0	0.01	1	0.01	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_arg__L_e	1.0	0.12	1	0.12	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_cgly_e	1.0	0.2	1	0.2	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_cu2_e	1.0	1.0	1	1.0	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_cys__L_e	1.0	0.15	1	0.15	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_etoh_e	1.0	0.01	1	0.01	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_fe2_e	1.0	0.31	1	0.31	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_fe3_e	1.0	0.69	1	0.69	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_glu__L_e	1.0	0.14	1	0.14	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_glyc_e	1.0	0.01	1	0.01	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_gthrd_e	1.0	0.28	1	0.28	1721.B29M
all	minimal	Comamonas_testosteroni_TK102_	Sphingobium_yanoikuyae_ATCC_51230_	M_h2s_e	1.0	0.11	1	0.11	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_4hbz_e	0.5	0.01	1	0.005	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_acald_e	0.5	0.06	1	0.03	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_cgly_e	0.5	0.01	1	0.005	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_cys__L_e	0.5	0.02	1	0.01	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_fe2_e	0.5	0.45	1	0.225	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_fe3_e	0.5	0.55	1	0.275	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_glyc_e	0.5	0.01	1	0.005	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_gthrd_e	0.5	0.01	1	0.005	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_h2o_e	0.5	0.02	1	0.01	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_h_e	0.5	0.01	1	0.005	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_nh4_e	0.5	0.02	1	0.01	1721.B29M
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Comamonas_testosteroni_TK102_	M_pi_e	0.5	0.04	1	0.02	1721.B29M
