community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_acald_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_bz_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_cys__L_e	1.0	0.44	1	0.44	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_etoh_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_fe2_e	1.0	0.15	1	0.15	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_fe3pyovd_kt_e	1.0	0.85	1	0.85	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_glcr_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_glyc_e	1.0	0.73	1	0.73	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_h2s_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_h_e	1.0	0.03	1	0.03	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_meoh_e	1.0	0.09	1	0.09	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_nh4_e	1.0	0.18	1	0.18	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_pi_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Halocynthiibacter_namhaensis_RA2_3_	Hellea_balneolensis_DSM_19091_	M_tsul_e	1.0	0.25	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Hellea_balneolensis_DSM_19091_	Halocynthiibacter_namhaensis_RA2_3_	M_etoh_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Hellea_balneolensis_DSM_19091_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Hellea_balneolensis_DSM_19091_	Halocynthiibacter_namhaensis_RA2_3_	M_h2o_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Hellea_balneolensis_DSM_19091_	Halocynthiibacter_namhaensis_RA2_3_	M_nh4_e	1.0	0.03	1	0.03	1721.BMC.8.1T.30.3
all	minimal	Hellea_balneolensis_DSM_19091_	Halocynthiibacter_namhaensis_RA2_3_	M_o2_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_acald_e	1.0	0.04	1	0.04	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_etoh_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_fe2_e	1.0	0.17	1	0.17	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3_e	1.0	0.82	1	0.82	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_for_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_glyc_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_h2s_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_h_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_indole_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_leu__L_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_lys__L_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_meoh_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_o2_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_rib__D_e	1.0	0.13	1	0.13	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Halocynthiibacter_namhaensis_RA2_3_	M_val__L_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_LalaDgluMdapDala_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_LalaDgluMdap_e	1.0	0.05	1	0.05	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_acald_e	1.0	0.04	1	0.04	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_bz_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_cys__L_e	1.0	0.11	1	0.11	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_etoh_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_fe2_e	1.0	0.17	1	0.17	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_fe3_e	1.0	0.82	1	0.82	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_glyc_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_h2s_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_h_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_indole_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_inost_e	1.0	0.11	1	0.11	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_meoh_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_pi_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Hellea_balneolensis_DSM_19091_	M_tsul_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_acald_e	0.25	0.04	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_actn__R_e	0.25	0.03	1	0.0075	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_fe2_e	0.25	0.17	1	0.0425	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_fe3_e	0.25	0.82	1	0.205	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_glyc_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_h2s_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_h_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_indole_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_leu__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Mariniblastus_fucicola_FC18_	M_pi_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_acald_e	0.25	0.04	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_fe2_e	0.25	0.17	1	0.0425	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_fe3_e	0.25	0.82	1	0.205	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_for_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_glc__D_e	0.25	0.16	1	0.04	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_glu__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_glyc_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_h2s_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_h_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_indole_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_inost_e	0.25	0.11	1	0.0275	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_leu__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_lys__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_meoh_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_orn_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_pi_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_rib__D_e	0.25	0.13	1	0.0325	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_tsul_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
