community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	1.0	0.54	1	0.54	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	1.0	0.03	1	0.03	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2o_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_nh4_e	1.0	0.1	1	0.1	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Herbaspirillum_chlorophenolicum_CPW301_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_acald_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_arg__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_etoh_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	1.0	0.61	1	0.61	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	1.0	0.06	1	0.06	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_glc__D_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_glu__L_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_glyc_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2s_e	1.0	0.04	1	0.04	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_h_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_istfrnA_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_leu__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_lys__L_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	1.0	0.97	1	0.97	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_orn_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_rib__D_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Ralstonia_mannitolilytica_SN82F48_	Pseudomonas_fuscovaginae_LMG_2158_	M_ura_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_acald_e	1.0	0.03	1	0.03	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_arg__L_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_cgly_e	1.0	0.97	1	0.97	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_etoh_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	1.0	0.42	1	0.42	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3pyovd_kt_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_glc__D_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_glu__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_glyc_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_h_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_istfrnA_e	1.0	0.42	1	0.42	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_istfrnB_e	1.0	0.05	1	0.05	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_leu__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_lys__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_orn_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_ptrc_e	1.0	0.03	1	0.03	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_rib__D_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_spmd_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Thalassospira_mesophila_JCM_18969_	Pseudomonas_fuscovaginae_LMG_2158_	M_val__L_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_acald_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	1.0	1.0	1	1.0	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	1.0	0.03	1	0.03	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	1.0	0.14	1	0.14	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3pyovd_kt_e	1.0	0.49	1	0.49	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_glc__D_e	1.0	0.06	1	0.06	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_glyc_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2o_e	1.0	0.02	1	0.02	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2s_e	1.0	0.05	1	0.05	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_leu__L_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	1.0	0.6	1	0.6	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	1.0	0.9	1	0.9	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_ppap_e	1.0	0.1	1	0.1	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_ura_e	1.0	0.01	1	0.01	1721.S14T
all	minimal	Xanthomonas_gardneri_ICMP7383_	Pseudomonas_fuscovaginae_LMG_2158_	M_val__L_e	1.0	1.0	1	1.0	1721.S14T
