community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_acald_e	0.5	0.86	1	0.43	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_cu2_e	0.5	1.0	1	0.5	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_etoh_e	0.5	0.03	1	0.015	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_fe2_e	0.5	0.58	1	0.29	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_fe3_e	0.5	0.43	1	0.215	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_fe3pyovd_kt_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_glyc_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_h2o_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_h2s_e	0.5	0.44	1	0.22	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_indole_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_meoh_e	0.5	0.02	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_rib__D_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pedobacter_nyackensis_DSM_19625_	M_s_e	0.5	0.57	1	0.285	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_acald_e	0.5	0.86	1	0.43	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_etoh_e	0.5	0.03	1	0.015	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_fe2_e	0.5	0.58	1	0.29	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_fe3_e	0.5	0.43	1	0.215	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_fe3pyovd_kt_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_glyc_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_h2o_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_lac__L_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_o2_e	0.5	1.0	1	0.5	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_pea_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_rib__D_e	0.5	0.01	1	0.005	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Propionibacterium_acnes_KPA171202_	M_s_e	0.5	0.57	1	0.285	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_acald_e	0.6666666666666666	0.86	1	0.5733333333333333	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_arg__L_e	0.6666666666666666	0.02	1	0.0133333333333333	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	0.6666666666666666	1.0	1	0.6666666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_etoh_e	0.6666666666666666	0.03	1	0.0199999999999999	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	0.6666666666666666	0.58	1	0.3866666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	0.6666666666666666	0.43	1	0.2866666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3pyovd_kt_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_glc__D_e	0.6666666666666666	0.12	1	0.0799999999999999	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_glyc_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2o_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2s_e	0.6666666666666666	0.44	1	0.2933333333333333	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_hom__L_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_leu__L_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	0.6666666666666666	1.0	1	0.6666666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_orn_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	0.6666666666666666	1.0	1	0.6666666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_rib__D_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Pseudomonas_fuscovaginae_LMG_2158_	M_val__L_e	0.6666666666666666	0.01	1	0.0066666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_acald_e	0.1666666666666666	0.86	1	0.1433333333333333	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_actn__R_e	0.1666666666666666	0.01	1	0.0016666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_fe3_e	0.1666666666666666	0.43	1	0.0716666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_fe3pyovd_kt_e	0.1666666666666666	0.01	1	0.0016666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_h2o_e	0.1666666666666666	0.01	1	0.0016666666666666	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_h2s_e	0.1666666666666666	0.44	1	0.0733333333333333	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Ruminococcus_faecis_JCM_15917_	M_s_e	0.1666666666666666	0.57	1	0.0949999999999999	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_acald_e	1.0	0.86	1	0.86	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_arg__L_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_etoh_e	1.0	0.03	1	0.03	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_fe2_e	1.0	0.58	1	0.58	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_fe3_e	1.0	0.43	1	0.43	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_glc__D_e	1.0	0.12	1	0.12	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_glyc_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_h2o_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_h2s_e	1.0	0.44	1	0.44	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_indole_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_lac__L_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_leu__L_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_orn_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_pi_e	1.0	1.0	1	1.0	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_rib__D_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Acinetobacter_brisouii_CIP_110357_	Thalassospira_mesophila_JCM_18969_	M_s_e	1.0	0.57	1	0.57	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_etoh_e	0.2857142857142857	0.02	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_fe2_e	0.2857142857142857	0.48	1	0.1371428571428571	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_fe3_e	0.2857142857142857	0.51	1	0.1457142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_fe3pyovd_kt_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_h2o_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_indole_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_leu__L_e	0.2857142857142857	0.02	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_etoh_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe2_e	0.5714285714285714	0.48	1	0.2742857142857142	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe3_e	0.5714285714285714	0.51	1	0.2914285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe3pyovd_kt_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_h2o_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_o2_e	0.5714285714285714	1.0	1	0.5714285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_s_e	0.5714285714285714	0.03	1	0.0171428571428571	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_cgly_e	0.5714285714285714	0.45	1	0.2571428571428571	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	0.5714285714285714	0.71	1	0.4057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_etoh_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	0.5714285714285714	0.48	1	0.2742857142857142	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	0.5714285714285714	0.51	1	0.2914285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3pyovd_kt_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_glu__L_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_gua_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2o_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2s_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
