community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_cu2_e	1.0	1.0	1	1.0	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_fe2_e	1.0	0.68	1	0.68	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_glyald_e	1.0	0.02	1	0.02	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_glyc_e	1.0	0.01	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_h2s_e	1.0	0.63	1	0.63	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_h_e	1.0	0.01	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_nac_e	1.0	1.0	1	1.0	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Bacillus_humi_DSM_16318_	M_pi_e	1.0	0.01	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_fe2_e	0.5	0.68	1	0.34	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_fe3pyovd_kt_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_glyald_e	0.5	0.02	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_glyc_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_h2s_e	0.5	0.63	1	0.315	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_h_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Paenibacillus_alvei_DSM_29_	M_pi_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_cellb_e	0.5	0.02	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_cgly_e	0.5	0.04	1	0.02	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_cu2_e	0.5	1.0	1	0.5	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_cys__L_e	0.5	0.29	1	0.145	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_fe2_e	0.5	0.68	1	0.34	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_fe3pyovd_kt_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_for_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_g3pg_e	0.5	0.08	1	0.04	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_gly_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_glyald_e	0.5	0.02	1	0.01	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_glyc_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_h2s_e	0.5	0.63	1	0.315	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_h_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_leu__L_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
all	minimal	Actinomyces_urogenitalis_DSM_15434_	Pantoea_septica_LMG_5345_	M_pi_e	0.5	0.01	1	0.005	1773.Columb.passer1.crop
