Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
0	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.25	0.03	1	0.0075	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
1	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_etoh_e	0.25	0.25	1	0.0625	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
2	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.25	0.75	1	0.1875	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
3	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_fe3_e	0.25	0.24	1	0.06	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
4	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
5	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_gal_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
6	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_h2s_e	0.25	0.5	1	0.125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
7	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_h_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
8	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_nh4_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
9	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_o2_e	0.25	0.48	1	0.12	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
10	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_pi_e	0.25	0.99	1	0.2475	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
11	all	minimal	Flavobacterium_fluvii_DSM_19978_	Bacillus_circulans_NBRC_13626_	M_xylan4_e	0.25	0.05	1	0.0125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
12	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_adn_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
13	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_arg__L_e	0.25	0.03	1	0.0075	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
14	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_fe2_e	0.25	0.75	1	0.1875	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
15	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_fe3_e	0.25	0.24	1	0.06	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
16	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
17	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_glu__L_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
18	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_gthrd_e	0.25	0.02	1	0.005	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
19	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_h2s_e	0.25	0.5	1	0.125	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
20	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_h_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
21	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_nh4_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
22	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_pi_e	0.25	0.99	1	0.2475	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
23	all	minimal	Flavobacterium_fluvii_DSM_19978_	Prauserella_rugosa_NRRL_B_2295_	M_ppap_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
24	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_adn_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
25	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_arg__L_e	0.25	0.03	1	0.0075	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
26	all	minimal	Flavobacterium_fluvii_DSM_19978_	Pseudomonas_stutzeri_CGMCC_1_1803_	M_asp__L_e	0.25	0.01	1	0.0025	1883.2009.289.Crump.Artic.LTREB.main.lane3.NoIndex
