community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_co_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_fe2_e	0.3333333333333333	1.0	1	0.3333333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_h2_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_h2o_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_h2s_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_h_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_leu__L_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_nh4_e	0.3333333333333333	0.01	1	0.0033333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Acidovorax_radicis_N35_	M_ura_e	0.3333333333333333	0.29	1	0.0966666666666666	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Pedobacter_nyackensis_DSM_19625_	M_cgly_e	0.3333333333333333	0.36	1	0.12	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
all	minimal	Cyanobium_gracile_PCC_6307_	Pedobacter_nyackensis_DSM_19625_	M_fe2_e	0.3333333333333333	1.0	1	0.3333333333333333	1883.2009.371.Crump.Artic.LTREB.main.lane3.NoIndex
