Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
0	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_acald_e	0.1282051282051282	0.03	1	0.0038461538461538	2192.H01a.Hand.208.lane2.NoIndex.L002
1	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_arg__L_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
2	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_fe3_e	0.1282051282051282	0.37	1	0.0474358974358974	2192.H01a.Hand.208.lane2.NoIndex.L002
3	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_fe3pyovd_kt_e	0.1282051282051282	0.58	1	0.0743589743589743	2192.H01a.Hand.208.lane2.NoIndex.L002
4	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_glc__D_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
5	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_h2s_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
6	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_h_e	0.1282051282051282	0.02	1	0.0025641025641025	2192.H01a.Hand.208.lane2.NoIndex.L002
7	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Arthrobacter_agilis_4041_	M_thr__L_e	0.1282051282051282	1.0	1	0.1282051282051282	2192.H01a.Hand.208.lane2.NoIndex.L002
8	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_acald_e	0.1282051282051282	0.03	1	0.0038461538461538	2192.H01a.Hand.208.lane2.NoIndex.L002
9	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_arab__L_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
10	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_arg__L_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
11	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_etoh_e	0.1282051282051282	0.02	1	0.0025641025641025	2192.H01a.Hand.208.lane2.NoIndex.L002
12	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_fe3_e	0.1282051282051282	0.37	1	0.0474358974358974	2192.H01a.Hand.208.lane2.NoIndex.L002
13	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	0.1282051282051282	0.58	1	0.0743589743589743	2192.H01a.Hand.208.lane2.NoIndex.L002
14	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_gal_e	0.1282051282051282	0.02	1	0.0025641025641025	2192.H01a.Hand.208.lane2.NoIndex.L002
15	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_glc__D_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
16	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_gua_e	0.1282051282051282	0.02	1	0.0025641025641025	2192.H01a.Hand.208.lane2.NoIndex.L002
17	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_h2s_e	0.1282051282051282	0.01	1	0.0012820512820512	2192.H01a.Hand.208.lane2.NoIndex.L002
18	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_h_e	0.1282051282051282	0.02	1	0.0025641025641025	2192.H01a.Hand.208.lane2.NoIndex.L002
19	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Bacillus_humi_DSM_16318_	M_pi_e	0.1282051282051282	1.0	1	0.1282051282051282	2192.H01a.Hand.208.lane2.NoIndex.L002
20	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Brachybacterium_massiliense_mt5_	M_acald_e	0.1794871794871795	0.03	1	0.0053846153846153	2192.H01a.Hand.208.lane2.NoIndex.L002
21	all	minimal	Akkermansia_muciniphila_ATCC_BAA_835_	Brachybacterium_massiliense_mt5_	M_arg__L_e	0.1794871794871795	0.01	1	0.0017948717948717	2192.H01a.Hand.208.lane2.NoIndex.L002
