community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_acald_e	0.25	0.04	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_anhgm_e	0.25	0.02	1	0.005	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_cys__L_e	0.25	0.12	1	0.03	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_etoh_e	0.25	0.02	1	0.005	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_fald_e	0.25	1.0	1	0.25	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_fe2_e	0.25	0.09	1	0.0225	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_glyc_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_h2o_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_h2s_e	0.25	0.12	1	0.03	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_h_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_indole_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_mal__L_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_nh4_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_pi_e	0.25	0.03	1	0.0075	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Akkermansia_muciniphila_ATCC_BAA_835_	M_ura_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_acald_e	1.0	0.04	1	0.04	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_fe2_e	1.0	0.09	1	0.09	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_for_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_glyc_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_h2o_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_h2s_e	1.0	0.12	1	0.12	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_h_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_lys__L_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_nh4_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Brachybacterium_massiliense_mt5_	M_thr__L_e	1.0	0.01	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_acald_e	0.25	0.04	1	0.01	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe2_e	0.25	0.09	1	0.0225	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_for_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_glyc_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2o_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2s_e	0.25	0.12	1	0.03	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_h_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_lys__L_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_nh4_e	0.25	0.01	1	0.0025	2192.H03a.Hand.1258.lane5.NoIndex.L005
all	minimal	Acinetobacter_bohemicus_ANC_3994_	Corynebacterium_aurimucosum_1237_CAUR_	M_pi_e	0.25	0.03	1	0.0075	2192.H03a.Hand.1258.lane5.NoIndex.L005
