community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_arg__L_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe2_e	0.3809523809523809	0.63	1	0.24	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe3pyovd_kt_e	0.3809523809523809	0.38	1	0.1447619047619047	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_glyc_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2s_e	0.3809523809523809	0.02	1	0.0076190476190476	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_lys__L_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_nh4_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_aurimucosum_1237_CAUR_	M_pi_e	0.3809523809523809	0.05	1	0.019047619047619	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_adn_e	0.3809523809523809	0.02	1	0.0076190476190476	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_fe2_e	0.3809523809523809	0.63	1	0.24	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_fe3pyovd_kt_e	0.3809523809523809	0.38	1	0.1447619047619047	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_fum_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_h2s_e	0.3809523809523809	0.02	1	0.0076190476190476	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_nh4_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Corynebacterium_fournierii_Marseille_P2948_	M_pi_e	0.3809523809523809	0.05	1	0.019047619047619	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_arg__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_fe2_e	0.1428571428571428	0.63	1	0.09	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_fe3pyovd_kt_e	0.1428571428571428	0.38	1	0.0542857142857142	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_glyc_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_gthrd_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_h2s_e	0.1428571428571428	0.02	1	0.0028571428571428	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_ins_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_lys__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Kocuria_palustris_MU14_1_	M_nh4_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_arg__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_fe2_e	0.1428571428571428	0.63	1	0.09	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_fe3pyovd_kt_e	0.1428571428571428	0.38	1	0.0542857142857142	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_glyc_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_gua_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_h2s_e	0.1428571428571428	0.02	1	0.0028571428571428	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_lys__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Megasphaera_cerevisiae_DSM_20462_	M_nh4_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_fe2_e	1.0	0.63	1	0.63	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_fe3pyovd_kt_e	1.0	0.38	1	0.38	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_glyc_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_h2s_e	1.0	0.02	1	0.02	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_lys__L_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_nh4_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_o2_e	1.0	1.0	1	1.0	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Micrococcus_luteus_NCTC_2665_	M_thm_e	1.0	1.0	1	1.0	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Mycoplasma_wenyonii_str_Massachusetts_	M_fe2_e	0.1428571428571428	0.63	1	0.09	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Mycoplasma_wenyonii_str_Massachusetts_	M_fe3pyovd_kt_e	0.1428571428571428	0.38	1	0.0542857142857142	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_fe2_e	0.1428571428571428	0.63	1	0.09	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_fe3pyovd_kt_e	0.1428571428571428	0.38	1	0.0542857142857142	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_glyc_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_gthrd_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_h2s_e	0.1428571428571428	0.02	1	0.0028571428571428	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_lys__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Paracoccus_isoporae_DSM_22220_	M_nh4_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_adn_e	0.3809523809523809	0.02	1	0.0076190476190476	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_arg__L_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_fe2_e	0.3809523809523809	0.63	1	0.24	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_fe3pyovd_kt_e	0.3809523809523809	0.38	1	0.1447619047619047	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_glc__D_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_glcn_e	0.3809523809523809	0.34	1	0.1295238095238095	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_glyc_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_gua_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_h2s_e	0.3809523809523809	0.02	1	0.0076190476190476	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_ins_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_lys__L_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_nh4_e	0.3809523809523809	0.01	1	0.0038095238095238	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Pseudomonas_protegens_CHA0_	M_pi_e	0.3809523809523809	0.05	1	0.019047619047619	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_arg__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_fe2_e	0.1428571428571428	0.63	1	0.09	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_fe3pyovd_kt_e	0.1428571428571428	0.38	1	0.0542857142857142	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_fum_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_glyc_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_gthrd_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_h2s_e	0.1428571428571428	0.02	1	0.0028571428571428	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_lcts_e	0.1428571428571428	0.57	1	0.0814285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_lys__L_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Arthrobacter_agilis_4041_	Staphylococcus_cohnii_subsp_cohnii_532_	M_nh4_e	0.1428571428571428	0.01	1	0.0014285714285714	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_fe3_e	1.0	0.03	1	0.03	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_glyald_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_glyc_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_h2o_e	1.0	0.02	1	0.02	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_h2s_e	1.0	0.02	1	0.02	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_h_e	1.0	0.02	1	0.02	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_istfrnB_e	1.0	0.98	1	0.98	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_o2_e	1.0	1.0	1	1.0	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_aurimucosum_1237_CAUR_	Micrococcus_luteus_NCTC_2665_	M_thm_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_arg__L_e	0.3333333333333333	0.03	1	0.0099999999999999	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_cgly_e	0.3333333333333333	0.11	1	0.0366666666666666	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_fe3_e	0.3333333333333333	0.21	1	0.0699999999999999	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_gthrd_e	0.3333333333333333	0.11	1	0.0366666666666666	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_h2o_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_h2s_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_lac__L_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Arthrobacter_agilis_4041_	M_rib__D_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_arg__L_e	1.0	0.03	1	0.03	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_co_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe2_e	1.0	0.78	1	0.78	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe3_e	1.0	0.21	1	0.21	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2o_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2s_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_pi_e	1.0	0.06	1	0.06	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_rib__D_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Corynebacterium_aurimucosum_1237_CAUR_	M_s_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_arg__L_e	0.3333333333333333	0.03	1	0.0099999999999999	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_cgly_e	0.3333333333333333	0.11	1	0.0366666666666666	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_cit_e	0.3333333333333333	0.02	1	0.0066666666666666	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_fe2_e	0.3333333333333333	0.78	1	0.26	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_fe3_e	0.3333333333333333	0.21	1	0.0699999999999999	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_gthrd_e	0.3333333333333333	0.11	1	0.0366666666666666	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_h2o_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Kocuria_palustris_MU14_1_	M_h2s_e	0.3333333333333333	0.01	1	0.0033333333333333	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_arg__L_e	1.0	0.03	1	0.03	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_fe2_e	1.0	0.78	1	0.78	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_fe3_e	1.0	0.21	1	0.21	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_h2o_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_h2s_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_lac__L_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Megasphaera_cerevisiae_DSM_20462_	M_rib__D_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Micrococcus_luteus_NCTC_2665_	M_ala__D_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Micrococcus_luteus_NCTC_2665_	M_fe2_e	1.0	0.78	1	0.78	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Micrococcus_luteus_NCTC_2665_	M_fe3_e	1.0	0.21	1	0.21	2192.H05a.Foot.5007.lane6.NoIndex.L006
all	minimal	Corynebacterium_fournierii_Marseille_P2948_	Micrococcus_luteus_NCTC_2665_	M_h2o_e	1.0	0.01	1	0.01	2192.H05a.Foot.5007.lane6.NoIndex.L006
