community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe2_e	1.0	0.04	1	0.04	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe3_e	1.0	0.58	1	0.58	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_glyald_e	1.0	0.06	1	0.06	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_glyc_e	1.0	0.04	1	0.04	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_h2o_e	1.0	0.07	1	0.07	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_h_e	1.0	0.03	1	0.03	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_istfrnA_e	1.0	0.04	1	0.04	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_lys__L_e	1.0	0.05	1	0.05	2192.H05b.Nose.2964.lane5.NoIndex.L005
all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Corynebacterium_aurimucosum_1237_CAUR_	M_pi_e	1.0	0.01	1	0.01	2192.H05b.Nose.2964.lane5.NoIndex.L005
