Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
0	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_LalaDgluMdap_e	1.0	0.01	1	0.01	2192.H06b.Nose.3063.lane6.NoIndex.L006
1	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_acald_e	1.0	0.02	1	0.02	2192.H06b.Nose.3063.lane6.NoIndex.L006
2	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_anhgm_e	1.0	0.01	1	0.01	2192.H06b.Nose.3063.lane6.NoIndex.L006
3	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_fe3pyovd_kt_e	1.0	0.97	1	0.97	2192.H06b.Nose.3063.lane6.NoIndex.L006
4	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_g3pe_e	1.0	0.26	1	0.26	2192.H06b.Nose.3063.lane6.NoIndex.L006
5	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_glyc_e	1.0	0.23	1	0.23	2192.H06b.Nose.3063.lane6.NoIndex.L006
6	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_o2_e	1.0	0.8	1	0.8	2192.H06b.Nose.3063.lane6.NoIndex.L006
7	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_peng_e	1.0	1.0	1	1.0	2192.H06b.Nose.3063.lane6.NoIndex.L006
8	all	minimal	Acinetobacter_gyllenbergii_NIPH_230_	Streptococcus_cristatus_AS_1_3089_	M_thm_e	1.0	1.0	1	1.0	2192.H06b.Nose.3063.lane6.NoIndex.L006
9	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_LalaDgluMdapDala_e	0.0625	0.03	1	0.001875	2192.H06b.Nose.3063.lane6.NoIndex.L006
10	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_acald_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
11	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_ala__D_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
12	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_anhgm_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
13	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_etoh_e	0.0625	0.02	1	0.00125	2192.H06b.Nose.3063.lane6.NoIndex.L006
14	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe2_e	0.0625	0.95	1	0.059375	2192.H06b.Nose.3063.lane6.NoIndex.L006
15	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe3pyovd_kt_e	0.0625	0.07	1	0.004375	2192.H06b.Nose.3063.lane6.NoIndex.L006
16	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_gthrd_e	0.0625	0.07	1	0.004375	2192.H06b.Nose.3063.lane6.NoIndex.L006
17	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_h2s_e	0.0625	0.65	1	0.040625	2192.H06b.Nose.3063.lane6.NoIndex.L006
18	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_lac__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
19	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_leu__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
20	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_lys__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
21	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_meoh_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
22	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_phe__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
23	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_s_e	0.0625	0.02	1	0.00125	2192.H06b.Nose.3063.lane6.NoIndex.L006
24	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_ser__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
25	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_trp__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
26	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Acinetobacter_gyllenbergii_NIPH_230_	M_tyr__L_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
27	all	minimal	Acinetobacter_harbinensis_HITLi_7_	Aerococcus_viridans_CCUG4311_	M_acald_e	0.0625	0.01	1	0.000625	2192.H06b.Nose.3063.lane6.NoIndex.L006
