community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_etoh_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_fe2_e	0.5	0.73	1	0.365	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_fe3_e	0.5	0.46	1	0.23	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_g3pg_e	0.5	0.97	1	0.485	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_gthrd_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_h_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_lys__L_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_pi_e	0.5	0.03	1	0.015	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_rib__D_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_s_e	0.5	0.02	1	0.01	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_thr__L_e	0.5	0.02	1	0.01	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Pseudoalteromonas_shioyasakiensis_JCM_18891_	M_ura_e	0.5	0.22	1	0.11	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Vibrio_breoganii_FF50_	M_etoh_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Vibrio_breoganii_FF50_	M_fe2_e	0.5	0.73	1	0.365	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Vibrio_breoganii_FF50_	M_fe3_e	0.5	0.46	1	0.23	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Vibrio_breoganii_FF50_	M_glc__D_e	0.5	0.02	1	0.01	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
all	minimal	Haliea_salexigens_DSM_19537_	Vibrio_breoganii_FF50_	M_gthrd_e	0.5	0.01	1	0.005	2229.S1.N11.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005
