community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_ala__L_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_alaala_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_arg__L_e	0.6666666666666666	0.04	1	0.0266666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_cgly_e	0.6666666666666666	0.21	1	0.1399999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_etoh_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_fe2_e	0.6666666666666666	0.76	1	0.5066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_fe3pyovd_kt_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glc__D_e	0.6666666666666666	0.1	1	0.0666666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glu__L_e	0.6666666666666666	0.75	1	0.5	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glyc3p_e	0.6666666666666666	0.96	1	0.6399999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glyc_e	0.6666666666666666	0.91	1	0.6066666666666667	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_gua_e	0.6666666666666666	0.15	1	0.0999999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_h2s_e	0.6666666666666666	0.39	1	0.26	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_leu__L_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_lys__L_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_nh4_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_orn_e	0.6666666666666666	0.04	1	0.0266666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_pi_e	0.6666666666666666	0.04	1	0.0266666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_ser__L_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_spmd_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_thym_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_psychrotolerans_PRS08_11306_	M_ura_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_alaala_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_arg__L_e	0.6666666666666666	0.04	1	0.0266666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_cgly_e	0.6666666666666666	0.21	1	0.1399999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_etoh_e	0.6666666666666666	0.02	1	0.0133333333333333	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_fe2_e	0.6666666666666666	0.76	1	0.5066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_fe3pyovd_kt_e	0.6666666666666666	0.01	1	0.0066666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_glc__D_e	0.6666666666666666	0.1	1	0.0666666666666666	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_glu__L_e	0.6666666666666666	0.75	1	0.5	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_glyc3p_e	0.6666666666666666	0.96	1	0.6399999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_glyc_e	0.6666666666666666	0.91	1	0.6066666666666667	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_gua_e	0.6666666666666666	0.15	1	0.0999999999999999	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
all	minimal	Massilia_putida_6NM_7T_	Pseudomonas_putida_PA14H7_	M_h2s_e	0.6666666666666666	0.39	1	0.26	2382.DPOO1.C1.HA.4.645.gp.9.12.lane8.NoIndex.L008.sequences
