community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_arg__L_e	0.5	0.69	1	0.345	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_fe2_e	0.5	0.27	1	0.135	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_fe3_e	0.5	0.96	1	0.48	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_glyald_e	0.5	0.96	1	0.48	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_glyc_e	0.5	0.04	1	0.02	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_gua_e	0.5	0.02	1	0.01	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_lys__L_e	0.5	0.02	1	0.01	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Megasphaera_cerevisiae_DSM_20462_	M_nh4_e	0.5	0.01	1	0.005	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_ala__L_e	1.0	0.02	1	0.02	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_arg__L_e	1.0	0.69	1	0.69	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_cgly_e	1.0	0.02	1	0.02	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_etoh_e	1.0	0.03	1	0.03	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_fe2_e	1.0	0.27	1	0.27	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_fe3_e	1.0	0.96	1	0.96	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glyald_e	1.0	0.96	1	0.96	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glyc3p_e	1.0	0.01	1	0.01	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_glyc_e	1.0	0.04	1	0.04	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_gua_e	1.0	0.02	1	0.02	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_h_e	1.0	0.03	1	0.03	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Anoxybacillus_tepidamans_PS2_	Pseudomonas_psychrotolerans_PRS08_11306_	M_lys__L_e	1.0	0.02	1	0.02	2382.MU002.C3.HA.5.699.leav.9.12.lane8.NoIndex.L008.sequences
