community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_4abz_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_arg__L_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_cgly_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_fe3_e	1.0	0.4	1	0.4	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_fe3pyovd_kt_e	1.0	0.13	1	0.13	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_glc__D_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_h2s_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_h_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_lac__L_e	1.0	0.4	1	0.4	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_leu__L_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_lys__L_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_o2_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Mycoplasma_wenyonii_str_Massachusetts_	Pseudomonas_putida_PA14H7_	M_ocdca_e	1.0	1.0	1	1.0	2382.RU006.C181.RH.1.779.leav.9.12.lane8.NoIndex.L008.sequences
