community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_acald_e	1.0	0.08	1	0.08	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_arg__L_e	1.0	0.04	1	0.04	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_fe2_e	1.0	0.47	1	0.47	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_fe3_e	1.0	0.53	1	0.53	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_glyald_e	1.0	0.04	1	0.04	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_glyclt_e	1.0	0.01	1	0.01	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_h2o_e	1.0	0.43	1	0.43	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_h2s_e	1.0	0.04	1	0.04	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_h_e	1.0	0.02	1	0.02	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_nh4_e	1.0	0.02	1	0.02	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_oxa_e	1.0	0.01	1	0.01	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Methylobacterium_phyllostachyos_BL47_	Anoxybacillus_tepidamans_PS2_	M_pi_e	1.0	1.0	1	1.0	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Sphingomonas_echinoides_ATCC_14820_	Anoxybacillus_tepidamans_PS2_	M_acald_e	1.0	0.12	1	0.12	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Sphingomonas_echinoides_ATCC_14820_	Anoxybacillus_tepidamans_PS2_	M_agm_e	1.0	0.05	1	0.05	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Sphingomonas_echinoides_ATCC_14820_	Anoxybacillus_tepidamans_PS2_	M_anhgm_e	1.0	0.01	1	0.01	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
all	minimal	Sphingomonas_echinoides_ATCC_14820_	Anoxybacillus_tepidamans_PS2_	M_arg__L_e	1.0	0.27	1	0.27	2382.SH008.C6.HA.5.749.leav.9.12.lane8.NoIndex.L008.sequences
