Unnamed: 0	community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
0	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_LalaDgluMdapDala_e	0.1428571428571428	0.04	1	0.0057142857142857	662.M18
1	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_LalaDgluMdap_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
2	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_acald_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
3	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_ala__D_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
4	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_anhgm_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
5	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_cgly_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
6	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_cu2_e	0.1428571428571428	1.0	1	0.1428571428571428	662.M18
7	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_cys__L_e	0.1428571428571428	0.02	1	0.0028571428571428	662.M18
8	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_fe2_e	0.1428571428571428	0.99	1	0.1414285714285714	662.M18
9	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_glu__L_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
10	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_gthrd_e	0.1428571428571428	0.68	1	0.0971428571428571	662.M18
11	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_gua_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
12	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_h2o_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
13	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_h2s_e	0.1428571428571428	0.05	1	0.0071428571428571	662.M18
14	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
15	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_indole_e	0.1428571428571428	0.04	1	0.0057142857142857	662.M18
16	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_no2_e	0.1428571428571428	0.08	1	0.0114285714285714	662.M18
17	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_pi_e	0.1428571428571428	0.02	1	0.0028571428571428	662.M18
18	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_s_e	0.1428571428571428	0.06	1	0.0085714285714285	662.M18
19	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_piezophila_ATCC_BAA_637_	M_ura_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
20	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_LalaDgluMdapDala_e	0.1428571428571428	0.04	1	0.0057142857142857	662.M18
21	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_LalaDgluMdap_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
22	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_acald_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
23	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_ala__D_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
24	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_anhgm_e	0.1428571428571428	0.03	1	0.0042857142857142	662.M18
25	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_bz_e	0.1428571428571428	1.0	1	0.1428571428571428	662.M18
26	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_cgly_e	0.1428571428571428	0.01	1	0.0014285714285714	662.M18
27	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_cys__L_e	0.1428571428571428	0.02	1	0.0028571428571428	662.M18
28	all	minimal	Colwellia_aestuarii_KCTC_12480_	Colwellia_psychrerythraea_GAB14E_	M_fe2_e	0.1428571428571428	0.99	1	0.1414285714285714	662.M18
