community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_acald_e	1.0	0.11	1	0.11	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_fe2_e	1.0	0.04	1	0.04	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_fe3_e	1.0	0.94	1	0.94	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_fe3pyovd_kt_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_glyc_e	1.0	0.03	1	0.03	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_h2o_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_h2s_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_h_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Methyloceanibacter_stevinii_R_67176_	M_pi_e	1.0	1.0	1	1.0	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_LalaDgluMdap_e	1.0	0.11	1	0.11	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_acald_e	1.0	0.11	1	0.11	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_arg__L_e	1.0	0.05	1	0.05	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_duri_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_fe2_e	1.0	0.04	1	0.04	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_fe3_e	1.0	0.94	1	0.94	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_fe3pyovd_kt_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_glc__D_e	1.0	0.05	1	0.05	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_glyald_e	1.0	0.94	1	0.94	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_glyc_e	1.0	0.03	1	0.03	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_gthrd_e	1.0	0.88	1	0.88	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_h2o_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_h2s_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_h_e	1.0	0.02	1	0.02	678.T.RFLP.Sample.821
all	minimal	Methyloceanibacter_methanicus_R_67174_	Psychromonas_arctica_DSM_14288_	M_hom__L_e	1.0	0.98	1	0.98	678.T.RFLP.Sample.821
