community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_fe3pyovd_kt_e	0.3611111111111111	0.32	1	0.1155555555555555	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_glyald_e	0.3611111111111111	0.02	1	0.0072222222222222	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_glyc_e	0.3611111111111111	0.01	1	0.0036111111111111	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_h2o_e	0.3611111111111111	0.02	1	0.0072222222222222	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_h2s_e	0.3611111111111111	0.3	1	0.1083333333333333	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_h_e	0.3611111111111111	0.01	1	0.0036111111111111	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_istfrnB_e	0.3611111111111111	0.02	1	0.0072222222222222	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_lys__L_e	0.3611111111111111	1.0	1	0.3611111111111111	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_mal__L_e	0.3611111111111111	0.37	1	0.1336111111111111	678.seasonal.insitu.sample.596
all	minimal	Clostridium_chauvoei_JF4335_	Desulfobacula_toluolica_Tol2_	M_o2_e	0.3611111111111111	1.0	1	0.3611111111111111	678.seasonal.insitu.sample.596
