community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_LalaDgluMdapDala_e	0.0909090909090909	0.05	1	0.0045454545454545	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_acald_e	0.0909090909090909	0.03	1	0.0027272727272727	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_ala__D_e	0.0909090909090909	0.02	1	0.0018181818181818	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_cgly_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_cys__L_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_etoh_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_fe2_e	0.0909090909090909	0.07	1	0.0063636363636363	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_fe3pyovd_kt_e	0.0909090909090909	0.21	1	0.019090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_glc__D_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_glu__L_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_glyc3p_e	0.0909090909090909	0.26	1	0.0236363636363636	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_glyc_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_istfrnA_e	0.0909090909090909	0.62	1	0.0563636363636363	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_lys__L_e	0.0909090909090909	0.05	1	0.0045454545454545	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_marinimaniae_MTCD1_	M_pi_e	0.0909090909090909	0.04	1	0.0036363636363636	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_LalaDgluMdapDala_e	0.0909090909090909	0.05	1	0.0045454545454545	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_acald_e	0.0909090909090909	0.03	1	0.0027272727272727	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_ala__D_e	0.0909090909090909	0.02	1	0.0018181818181818	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_cgly_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_cys__L_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_etoh_e	0.0909090909090909	0.01	1	0.0009090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_fe2_e	0.0909090909090909	0.07	1	0.0063636363636363	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
all	minimal	Colwellia_chukchiensis_CGMCC1_9127_	Colwellia_piezophila_ATCC_BAA_637_	M_fe3pyovd_kt_e	0.0909090909090909	0.21	1	0.019090909090909	723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence
