community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_ala__L_e	0.0769230769230769	0.03	1	0.0023076923076923	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_arg__L_e	0.0769230769230769	0.03	1	0.0023076923076923	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_fe2_e	0.0769230769230769	0.07	1	0.0053846153846153	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_fe3pyovd_kt_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_gal_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_glc__D_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_glu__L_e	0.0769230769230769	0.03	1	0.0023076923076923	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_glyc3p_e	0.0769230769230769	0.9	1	0.0692307692307692	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_h2s_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_indole_e	0.0769230769230769	1.0	1	0.0769230769230769	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_istfrnA_e	0.0769230769230769	0.93	1	0.0715384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_nh4_e	0.0769230769230769	0.03	1	0.0023076923076923	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_pi_e	0.0769230769230769	0.08	1	0.0061538461538461	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_rib__D_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Arthrobacter_luteolus_NBRC_107841_	M_urea_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_ala__D_e	0.0769230769230769	0.01	1	0.0007692307692307	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.0769230769230769	0.03	1	0.0023076923076923	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.0769230769230769	0.07	1	0.0053846153846153	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_fe3pyovd_kt_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_gal_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_glc__D_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_glyc3p_e	0.0769230769230769	0.9	1	0.0692307692307692	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_gua_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_h2s_e	0.0769230769230769	0.02	1	0.0015384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_indole_e	0.0769230769230769	1.0	1	0.0769230769230769	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_istfrnA_e	0.0769230769230769	0.93	1	0.0715384615384615	755.EF.EPSILON.09.06.11.lane3.NoIndex.L003
