community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_acald_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_arg__L_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_cu2_e	0.1538461538461538	1.0	1	0.1538461538461538	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_etoh_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_fe2_e	0.1538461538461538	0.21	1	0.0323076923076923	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	0.1538461538461538	0.26	1	0.04	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_gal_e	0.1538461538461538	0.51	1	0.0784615384615384	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_glc__D_e	0.1538461538461538	0.03	1	0.0046153846153846	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_glyald_e	0.1538461538461538	0.09	1	0.0138461538461538	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_glyc_e	0.1538461538461538	0.03	1	0.0046153846153846	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_gua_e	0.1538461538461538	0.04	1	0.0061538461538461	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_h2s_e	0.1538461538461538	0.1	1	0.0153846153846153	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_h_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_lys__L_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_nac_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_pi_e	0.1538461538461538	0.03	1	0.0046153846153846	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_rib__D_e	0.1538461538461538	0.05	1	0.0076923076923076	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Bacillus_humi_DSM_16318_	M_thym_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_acald_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_ala__L_e	0.1538461538461538	0.02	1	0.003076923076923	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_cu2_e	0.1538461538461538	1.0	1	0.1538461538461538	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_etoh_e	0.1538461538461538	0.01	1	0.0015384615384615	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_fe2_e	0.1538461538461538	0.21	1	0.0323076923076923	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_fe3pyovd_kt_e	0.1538461538461538	0.26	1	0.04	755.EF.ETA.30.06.11.lane3.NoIndex.L003
all	minimal	Bacillus_circulans_NBRC_13626_	Caryophanon_latum_DSM_14151_	M_h2s_e	0.1538461538461538	0.1	1	0.0153846153846153	755.EF.ETA.30.06.11.lane3.NoIndex.L003
