community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.3529411764705882	0.12	1	0.0423529411764705	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.3529411764705882	0.05	1	0.0176470588235294	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_gal_e	0.3529411764705882	0.02	1	0.0070588235294117	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_gua_e	0.3529411764705882	0.01	1	0.0035294117647058	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_h2o_e	0.3529411764705882	0.01	1	0.0035294117647058	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_h2s_e	0.3529411764705882	0.61	1	0.2152941176470588	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_indole_e	0.3529411764705882	1.0	1	0.3529411764705882	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_istfrnA_e	0.3529411764705882	0.95	1	0.3352941176470588	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_nh4_e	0.3529411764705882	0.01	1	0.0035294117647058	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_o2_e	0.3529411764705882	0.45	1	0.1588235294117647	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_pi_e	0.3529411764705882	0.42	1	0.148235294117647	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_rib__D_e	0.3529411764705882	0.01	1	0.0035294117647058	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_ser__L_e	0.3529411764705882	0.42	1	0.148235294117647	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_val__L_e	0.3529411764705882	0.01	1	0.0035294117647058	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_circulans_NBRC_13626_	M_xylan4_e	0.3529411764705882	0.55	1	0.1941176470588235	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_humi_DSM_16318_	M_arg__L_e	0.2352941176470588	0.12	1	0.028235294117647	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_humi_DSM_16318_	M_cu2_e	0.2352941176470588	1.0	1	0.2352941176470588	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_humi_DSM_16318_	M_fe2_e	0.2352941176470588	0.05	1	0.0117647058823529	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_humi_DSM_16318_	M_gal_e	0.2352941176470588	0.02	1	0.0047058823529411	755.LSSF.THETA.D15.22.07.11.lane3.NoIndex.L003
