community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_acald_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_adn_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_arab__L_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_arg__L_e	0.1891891891891892	0.35	1	0.0662162162162162	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_cgly_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_fe2_e	0.1891891891891892	0.35	1	0.0662162162162162	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_for_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_gal_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_glc__D_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_glu__L_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_glyald_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_glyc_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_gthrd_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_h2o_e	0.1891891891891892	0.02	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_h2s_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_lys__L_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_nh4_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_pi_e	0.1891891891891892	0.03	1	0.0056756756756756	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_bataviensis_LMG_21833_	M_rib__D_e	0.1891891891891892	0.01	1	0.0018918918918918	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_acald_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_arg__L_e	0.3783783783783784	0.35	1	0.1324324324324324	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_fe2_e	0.3783783783783784	0.35	1	0.1324324324324324	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_for_e	0.3783783783783784	0.01	1	0.0037837837837837	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_gal_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_glc__D_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_glyald_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_glyc3p_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_glyc_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_circulans_NBRC_13626_	M_h2o_e	0.3783783783783784	0.02	1	0.0075675675675675	755.MP.Mock.bacteria.2.archae.lane3.NoIndex.L003
