community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_4abz_e	1.0	0.03	1	0.03	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_ala__D_e	1.0	0.04	1	0.04	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_arg__L_e	1.0	0.02	1	0.02	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_bz_e	1.0	1.0	1	1.0	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_fe3_e	1.0	0.03	1	0.03	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_gua_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_h2o_e	1.0	0.02	1	0.02	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_indole_e	1.0	1.0	1	1.0	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_istfrnA_e	1.0	0.67	1	0.67	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_istfrnB_e	1.0	0.33	1	0.33	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_nh4_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_rib__D_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Flavonifractor_plautii_YL31_	M_urea_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_ala__D_e	1.0	0.04	1	0.04	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_fe3_e	1.0	0.03	1	0.03	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_gua_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_h2o_e	1.0	0.02	1	0.02	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_istfrnA_e	1.0	0.67	1	0.67	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_istfrnB_e	1.0	0.33	1	0.33	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_nh4_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_o2_e	1.0	0.94	1	0.94	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_rib__D_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_thm_e	1.0	1.0	1	1.0	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Romboutsia_timonensis_Marseille_P326_	M_urea_e	1.0	0.01	1	0.01	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_acald_e	0.06	0.04	1	0.0024	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_fe2_e	0.06	0.21	1	0.0125999999999999	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_fe3_e	0.06	0.01	1	0.0006	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_gal_e	0.06	0.11	1	0.0066	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_gua_e	0.06	0.32	1	0.0192	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_h2s_e	0.06	0.57	1	0.0341999999999999	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_istfrnA_e	0.06	0.79	1	0.0474	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_nac_e	0.06	1.0	1	0.06	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_pi_e	0.06	0.07	1	0.0042	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Alistipes_finegoldii_DSM_17242_	M_urea_e	0.06	0.09	1	0.0053999999999999	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_acald_e	0.02	0.04	1	0.0008	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_fe2_e	0.02	0.21	1	0.0042	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_fe3_e	0.02	0.01	1	0.0002	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_glyc3p_e	0.02	0.01	1	0.0002	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_istfrnA_e	0.02	0.79	1	0.0158	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Arthrobacter_rhombi_B_Ar_00_02_	M_urea_e	0.02	0.09	1	0.0018	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_5dglcn_e	0.1	0.19	1	0.019	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_acald_e	0.1	0.04	1	0.004	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_anhgm_e	0.1	0.17	1	0.017	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_asp__L_e	0.1	0.02	1	0.002	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_cellb_e	0.1	0.5	1	0.05	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_etoh_e	0.1	0.01	1	0.001	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_fe2_e	0.1	0.21	1	0.021	755.SSF.uneven.mix6.lane3.NoIndex.L003
all	minimal	Arthrobacter_luteolus_NBRC_107841_	Bacillus_aquimaris_TF_12_TF12_	M_fe3_e	0.1	0.01	1	0.001	755.SSF.uneven.mix6.lane3.NoIndex.L003
