community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_acald_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_ala__D_e	0.2	0.03	1	0.006	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_ala__L_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_arg__L_e	0.2	0.01	1	0.002	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_cellb_e	0.2	0.04	1	0.008	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_cgly_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_cu2_e	0.2	0.97	1	0.194	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_cys__L_e	0.2	0.01	1	0.002	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_etoh_e	0.2	0.01	1	0.002	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_fe2_e	0.2	0.03	1	0.006	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_fe3_e	0.2	0.24	1	0.048	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_g3pg_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_glc__D_e	0.2	0.35	1	0.0699999999999999	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_glcn_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_gly_e	0.2	0.03	1	0.006	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_glyc_e	0.2	0.08	1	0.016	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_gthrd_e	0.2	0.03	1	0.006	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_gua_e	0.2	0.04	1	0.008	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_h2s_e	0.2	0.01	1	0.002	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_hxan_e	0.2	0.02	1	0.004	804.LS11.128
all	minimal	Bacillus_cihuensis_FJAT_14515_	Buttiauxella_ferragutiae_ATCC_51602_	M_nh4_e	0.2	0.18	1	0.036	804.LS11.128
