community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acidovorax_radicis_N35_	Polynucleobacter_asymbioticus_QLW_P1DMWA_1_	M_etoh_e	1.0	0.01	1	0.01	804.LS11.72a
all	minimal	Acidovorax_radicis_N35_	Polynucleobacter_asymbioticus_QLW_P1DMWA_1_	M_fe3pyovd_kt_e	1.0	0.08	1	0.08	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_acald_e	0.1538461538461538	0.02	1	0.003076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_alaala_e	0.1538461538461538	0.03	1	0.0046153846153846	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_asp__L_e	0.1538461538461538	0.02	1	0.003076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_etoh_e	0.1538461538461538	0.01	1	0.0015384615384615	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_fe3_e	0.1538461538461538	0.05	1	0.0076923076923076	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_fe3pyovd_kt_e	0.1538461538461538	0.08	1	0.0123076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_glu__L_e	0.1538461538461538	0.01	1	0.0015384615384615	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_glyc_e	0.1538461538461538	0.02	1	0.003076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_h2s_e	0.1538461538461538	0.21	1	0.0323076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_lys__L_e	0.1538461538461538	0.01	1	0.0015384615384615	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_nh4_e	0.1538461538461538	0.03	1	0.0046153846153846	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_pi_e	0.1538461538461538	0.03	1	0.0046153846153846	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_s_e	0.1538461538461538	0.41	1	0.063076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acidovorax_radicis_N35_	M_thym_e	0.1538461538461538	0.22	1	0.0338461538461538	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_4hbz_e	0.0384615384615384	0.02	1	0.0007692307692307	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_acald_e	0.0384615384615384	0.02	1	0.0007692307692307	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_alaala_e	0.0384615384615384	0.03	1	0.0011538461538461	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_etoh_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe3_e	0.0384615384615384	0.05	1	0.0019230769230769	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_fe3pyovd_kt_e	0.0384615384615384	0.08	1	0.003076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_gly_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_glyc_e	0.0384615384615384	0.02	1	0.0007692307692307	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_glyclt_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_gua_e	0.0384615384615384	0.33	1	0.0126923076923076	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_h2s_e	0.0384615384615384	0.21	1	0.008076923076923	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_lys__L_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_nh4_e	0.0384615384615384	0.03	1	0.0011538461538461	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_s_e	0.0384615384615384	0.41	1	0.0157692307692307	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_thr__L_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Acinetobacter_gyllenbergii_NIPH_230_	M_thym_e	0.0384615384615384	0.22	1	0.0084615384615384	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Bacillus_indicus_DSM_16189_	M_acald_e	0.0384615384615384	0.02	1	0.0007692307692307	804.LS11.72a
all	minimal	Acinetobacter_brisouii_CIP_110357_	Bacillus_indicus_DSM_16189_	M_ala__L_e	0.0384615384615384	0.01	1	0.0003846153846153	804.LS11.72a
