community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_ala__D_e	1.0	0.03	1	0.03	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_cu2_e	1.0	1.0	1	1.0	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_fe2_e	1.0	0.93	1	0.93	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_fe3_e	1.0	0.02	1	0.02	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_gua_e	1.0	0.02	1	0.02	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_indole_e	1.0	1.0	1	1.0	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_jejuni_isolate_W1_	M_ura_e	1.0	0.03	1	0.03	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_ala__D_e	0.2	0.03	1	0.006	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_fe2_e	0.2	0.93	1	0.186	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_fe3_e	0.2	0.02	1	0.004	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_h2s_e	0.2	0.99	1	0.198	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_istfrnA_e	0.2	0.01	1	0.002	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_istfrnB_e	0.2	0.07	1	0.014	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Coprococcus_comes_ATCC_27758_	M_rib__D_e	0.2	0.01	1	0.002	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Eubacterium_coprostanoligenes_ATCC_51222_	M_4abz_e	0.2	0.01	1	0.002	894.OR344.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Eubacterium_coprostanoligenes_ATCC_51222_	M_fe3_e	0.2	0.02	1	0.004	894.OR344.lane3.NoIndex.L003
