community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_acald_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_etoh_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe2_e	0.2	0.47	1	0.094	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe3_e	0.2	0.52	1	0.104	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe3pyovd_kt_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_glc__D_e	0.2	0.37	1	0.074	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_glu__L_e	0.2	0.02	1	0.004	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_glyc3p_e	0.2	0.53	1	0.106	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_h2s_e	0.2	0.04	1	0.008	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_h_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_istfrnA_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_lys__L_e	0.2	0.03	1	0.006	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_mal__L_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_nh4_e	0.2	0.34	1	0.068	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_o2_e	0.2	0.49	1	0.098	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_orn_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_pi_e	0.2	0.13	1	0.026	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_succ_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_acald_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_cit_e	0.2	0.03	1	0.006	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_etoh_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe2_e	0.2	0.47	1	0.094	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe3_e	0.2	0.52	1	0.104	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe3pyovd_kt_e	0.2	0.01	1	0.002	894.OS607.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_glyc3p_e	0.2	0.53	1	0.106	894.OS607.lane3.NoIndex.L003
