community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_anhgm_e	0.1428571428571428	1.0	1	0.1428571428571428	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_etha_e	0.1428571428571428	0.26	1	0.0371428571428571	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_fe3pyovd_kt_e	0.1428571428571428	0.11	1	0.0157142857142857	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_glyc3p_e	0.1428571428571428	0.01	1	0.0014285714285714	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_glyc_e	0.1428571428571428	0.01	1	0.0014285714285714	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_h2o_e	0.1428571428571428	0.02	1	0.0028571428571428	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_h2s_e	0.1428571428571428	0.57	1	0.0814285714285714	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_indole_e	0.1428571428571428	1.0	1	0.1428571428571428	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_nh4_e	0.1428571428571428	0.01	1	0.0014285714285714	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_rib__D_e	0.1428571428571428	0.02	1	0.0028571428571428	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_arg__L_e	1.0	1.0	1	1.0	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_cu2_e	1.0	1.0	1	1.0	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_etoh_e	1.0	0.03	1	0.03	894.SL822.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_fe2_e	1.0	0.48	1	0.48	894.SL822.lane3.NoIndex.L003
