community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_acald_e	0.2777777777777778	0.02	1	0.0055555555555555	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_gal_e	0.2777777777777778	0.05	1	0.0138888888888888	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_glyald_e	0.2777777777777778	0.08	1	0.0222222222222222	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_glyc_e	0.2777777777777778	0.01	1	0.0027777777777777	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_h_e	0.2777777777777778	0.04	1	0.0111111111111111	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_nh4_e	0.2777777777777778	0.03	1	0.0083333333333333	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_orn_e	0.2777777777777778	0.03	1	0.0083333333333333	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_val__L_e	0.2777777777777778	0.05	1	0.0138888888888888	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_acald_e	0.3888888888888889	0.02	1	0.0077777777777777	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_arab__L_e	0.3888888888888889	0.01	1	0.0038888888888888	894.UY780.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_cys__L_e	0.3888888888888889	0.04	1	0.0155555555555555	894.UY780.lane3.NoIndex.L003
