community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_arg__L_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_asp__L_e	1.0	0.04	1	0.04	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_cellb_e	1.0	0.51	1	0.51	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_cgly_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_cys__L_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_etoh_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_fe2_e	1.0	0.02	1	0.02	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_fe3_e	1.0	0.99	1	0.99	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_fum_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_gal_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
all	minimal	Bacteroides_ovatus_ATCC_8483_	Comamonas_kerstersii_8943_	M_h2o_e	1.0	0.01	1	0.01	894.YY1181.lane5.NoIndex.L005
