community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_acald_e	0.1	0.06	1	0.006	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_arg__L_e	0.1	0.28	1	0.028	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_etoh_e	0.1	0.02	1	0.002	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_fe2_e	0.1	0.22	1	0.022	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_fe3_e	0.1	0.37	1	0.037	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_glc__D_e	0.1	0.15	1	0.015	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_glyc_e	0.1	0.04	1	0.004	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_h2s_e	0.1	0.01	1	0.001	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_lys__L_e	0.1	0.05	1	0.005	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_nh4_e	0.1	0.01	1	0.001	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_no2_e	0.1	0.41	1	0.041	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_orn_e	0.1	0.08	1	0.008	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Alicyclobacillus_acidocaldarius_subsp_acidocaldarius_DSM_446_	M_pi_e	0.1	0.14	1	0.014	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_acald_e	0.1555555555555555	0.06	1	0.0093333333333333	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_cys__L_e	0.1555555555555555	0.07	1	0.0108888888888888	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_fe2_e	0.1555555555555555	0.22	1	0.0342222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_fe3_e	0.1555555555555555	0.37	1	0.0575555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_glu__L_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_glyc_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_gthrd_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_h2s_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_indole_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_nh4_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_no2_e	0.1555555555555555	0.41	1	0.0637777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Aquabacterium_parvum_B6_	M_pi_e	0.1555555555555555	0.14	1	0.0217777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_acald_e	0.1555555555555555	0.06	1	0.0093333333333333	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_etoh_e	0.1555555555555555	0.02	1	0.0031111111111111	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_fe2_e	0.1555555555555555	0.22	1	0.0342222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_fe3_e	0.1555555555555555	0.37	1	0.0575555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_glyc_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_h2s_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_indole_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_lys__L_e	0.1555555555555555	0.05	1	0.0077777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_nh4_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_no2_e	0.1555555555555555	0.41	1	0.0637777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Brachymonas_chironomi_DSM_19884_	M_pi_e	0.1555555555555555	0.14	1	0.0217777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_acald_e	0.1555555555555555	0.06	1	0.0093333333333333	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_cgly_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_etoh_e	0.1555555555555555	0.02	1	0.0031111111111111	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_fe2_e	0.1555555555555555	0.22	1	0.0342222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_fe3_e	0.1555555555555555	0.37	1	0.0575555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_glu__L_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_glyc_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_h2s_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_indole_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_lys__L_e	0.1555555555555555	0.05	1	0.0077777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_nh4_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_no2_e	0.1555555555555555	0.41	1	0.0637777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Caballeronia_glathei_DSM_50014_	M_pi_e	0.1555555555555555	0.14	1	0.0217777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_acald_e	0.1555555555555555	0.06	1	0.0093333333333333	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_bz_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_cys__L_e	0.1555555555555555	0.07	1	0.0108888888888888	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_etoh_e	0.1555555555555555	0.02	1	0.0031111111111111	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_fe2_e	0.1555555555555555	0.22	1	0.0342222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_fe3_e	0.1555555555555555	0.37	1	0.0575555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_g3pg_e	0.1555555555555555	0.86	1	0.1337777777777777	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_glyc_e	0.1555555555555555	0.04	1	0.0062222222222222	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_h2s_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_indole_e	0.1555555555555555	0.03	1	0.0046666666666666	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_nh4_e	0.1555555555555555	0.01	1	0.0015555555555555	895.Puhimau.mat.2
all	minimal	Acidobacterium_ailaaui_PMMR2_	Chthonomonas_calidirosea_T49_	M_no2_e	0.1555555555555555	0.41	1	0.0637777777777777	895.Puhimau.mat.2
