community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_acald_e	1.0	0.02	1	0.02	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_adn_e	1.0	0.17	1	0.17	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_anhgm_e	1.0	0.01	1	0.01	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_cellb_e	1.0	0.28	1	0.28	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_cgly_e	1.0	0.02	1	0.02	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_cu2_e	1.0	1.0	1	1.0	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sedimentitalea_nanhaiensis_DSM_24252_	M_fe3_e	1.0	0.25	1	0.25	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sulfurovum_lithotrophicum_ATCC_BAA_797_	M_4abut_e	1.0	0.02	1	0.02	905.Gullmarsfjord.stations1
all	minimal	Aeromonas_eucrenophila_CECT_4224_	Sulfurovum_lithotrophicum_ATCC_BAA_797_	M_fe3_e	1.0	0.25	1	0.25	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_3amp_e	0.3555555555555555	0.03	1	0.0106666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_LalaDgluMdapDala_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_acald_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_ala__D_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_alaala_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_arg__L_e	0.3555555555555555	0.46	1	0.1635555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_cellb_e	0.3555555555555555	0.07	1	0.0248888888888888	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_cgly_e	0.3555555555555555	0.48	1	0.1706666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_cys__L_e	0.3555555555555555	0.06	1	0.0213333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_fe2_e	0.3555555555555555	0.96	1	0.3413333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_fe3_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_fe3pyovd_kt_e	0.3555555555555555	0.06	1	0.0213333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_for_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_frmd_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_glc__D_e	0.3555555555555555	0.38	1	0.1351111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_glu__L_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_gly_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_glyald_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_glyc3p_e	0.3555555555555555	0.56	1	0.1991111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_gthrd_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_h2o_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_hxan_e	0.3555555555555555	0.01	1	0.0035555555555555	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_istfrnA_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_istfrnB_e	0.3555555555555555	0.02	1	0.0071111111111111	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_met__L_e	0.3555555555555555	0.44	1	0.1564444444444444	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Aeromonas_eucrenophila_CECT_4224_	M_pi_e	0.3555555555555555	0.42	1	0.1493333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_acald_e	0.0666666666666666	0.02	1	0.0013333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_ala__D_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_cgly_e	0.0666666666666666	0.48	1	0.032	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_cu2_e	0.0666666666666666	0.92	1	0.0613333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_fe2_e	0.0666666666666666	0.96	1	0.064	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_fe3_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_fe3pyovd_kt_e	0.0666666666666666	0.06	1	0.004	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_glu__L_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_glyald_e	0.0666666666666666	0.02	1	0.0013333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_gthrd_e	0.0666666666666666	0.02	1	0.0013333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_h2o_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_pi_e	0.0666666666666666	0.42	1	0.0279999999999999	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Bacillus_subterraneus_MITOT1_	M_udcpp_e	0.0666666666666666	1.0	1	0.0666666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_LalaDgluMdapDala_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_acald_e	0.0666666666666666	0.02	1	0.0013333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_fe2_e	0.0666666666666666	0.96	1	0.064	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_fe3_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_fe3pyovd_kt_e	0.0666666666666666	0.06	1	0.004	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_glyc3p_e	0.0666666666666666	0.56	1	0.0373333333333333	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_h2o_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
all	minimal	Bacillus_glycinifermentans_	Beijerinckia_indica_subsp_indica_ATCC_9039_	M_hxan_e	0.0666666666666666	0.01	1	0.0006666666666666	905.Gullmarsfjord.stations1
