community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_fe3_e	1.0	0.49	1	0.49	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_glyald_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_glyc_e	1.0	0.28	1	0.28	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_h2s_e	1.0	0.01	1	0.01	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_h_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_lys__L_e	1.0	0.02	1	0.02	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_mal__L_e	1.0	0.04	1	0.04	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_pi_e	1.0	0.28	1	0.28	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_rib__D_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Arthrobacter_enclensis_NIO_1008_	Bacillus_humi_DSM_16318_	M_ura_e	1.0	0.02	1	0.02	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_acald_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_arg__L_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_etoh_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_fe3_e	1.0	0.3	1	0.3	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	1.0	0.29	1	0.29	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_gal_e	1.0	0.08	1	0.08	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_glyc_e	1.0	0.01	1	0.01	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_h2s_e	1.0	0.21	1	0.21	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_h_e	1.0	0.03	1	0.03	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_lys__L_e	1.0	0.04	1	0.04	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_mal__L_e	1.0	0.04	1	0.04	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_pea_e	1.0	0.01	1	0.01	910.CuracaoCCA5C
all	minimal	Sphingomonas_paucimobilis_NBRC_13935_	Bacillus_humi_DSM_16318_	M_pi_e	1.0	1.0	1	1.0	910.CuracaoCCA5C
