community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_acald_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_etoh_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe2_e	1.0	0.57	1	0.57	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe3_e	1.0	0.41	1	0.41	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_glu__L_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_glyc3p_e	1.0	0.48	1	0.48	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_h2o_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_h2s_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_h_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_indole_e	1.0	0.03	1	0.03	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_istfrnA_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_lys__L_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_mal__L_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_nh4_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_o2_e	1.0	1.0	1	1.0	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_orn_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_pi_e	1.0	0.01	1	0.01	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Arthrobacter_luteolus_NBRC_107841_	M_rib__D_e	1.0	0.02	1	0.02	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_acald_e	0.1666666666666666	0.01	1	0.0016666666666666	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_anhgm_e	0.1666666666666666	0.02	1	0.0033333333333333	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_etoh_e	0.1666666666666666	0.02	1	0.0033333333333333	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe2_e	0.1666666666666666	0.57	1	0.0949999999999999	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe3_e	0.1666666666666666	0.41	1	0.0683333333333333	945.P10.E1.lane3.NoIndex.L003
all	minimal	Acinetobacter_equi_114_	Caryophanon_latum_DSM_14151_	M_fe3pyovd_kt_e	0.1666666666666666	0.01	1	0.0016666666666666	945.P10.E1.lane3.NoIndex.L003
