community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_ala__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_alaala_e	0.1428571428571428	0.03	1	0.0042857142857142	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_etha_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_fe2_e	0.1428571428571428	0.44	1	0.0628571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_fe3_e	0.1428571428571428	0.26	1	0.0371428571428571	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_h2s_e	0.1428571428571428	0.32	1	0.0457142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_istfrnA_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_nh4_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_obesi_	M_rib__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_alaala_e	0.1428571428571428	0.03	1	0.0042857142857142	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_etha_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_fe3_e	0.1428571428571428	0.26	1	0.0371428571428571	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_glyc3p_e	0.1428571428571428	0.06	1	0.0085714285714285	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_h2s_e	0.1428571428571428	0.32	1	0.0457142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_indole_e	0.1428571428571428	1.0	1	0.1428571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_nh4_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_rib__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Alistipes_timonensis_JC136_DSM_25383_	M_urea_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_4abz_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_ala__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_fe2_e	0.1428571428571428	0.44	1	0.0628571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_fe3_e	0.1428571428571428	0.26	1	0.0371428571428571	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_gal_e	0.1428571428571428	0.45	1	0.0642857142857142	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_gsn_e	0.1428571428571428	0.04	1	0.0057142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_h2s_e	0.1428571428571428	0.32	1	0.0457142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_istfrnA_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_nh4_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Bacillus_psychrosaccharolyticus_ATCC_23296_	M_rib__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_ala__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_fe2_e	0.1428571428571428	0.44	1	0.0628571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_fe3_e	0.1428571428571428	0.26	1	0.0371428571428571	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_indole_e	0.1428571428571428	1.0	1	0.1428571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Campylobacter_cuniculorum_DSM_23162_LMG_24588_	M_nh4_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_alaala_e	1.0	0.03	1	0.03	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_bz_e	1.0	1.0	1	1.0	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_etha_e	1.0	0.01	1	0.01	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_fe2_e	1.0	0.44	1	0.44	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_fe3_e	1.0	0.26	1	0.26	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_gua_e	1.0	0.01	1	0.01	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_h2s_e	1.0	0.32	1	0.32	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_h_e	1.0	0.01	1	0.01	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_indole_e	1.0	1.0	1	1.0	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_istfrnA_e	1.0	0.02	1	0.02	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_met__D_e	1.0	0.21	1	0.21	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_nh4_e	1.0	0.02	1	0.02	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_rib__D_e	1.0	0.02	1	0.02	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Odoribacter_splanchnicus_DSM_20712_DSM_220712_	M_urea_e	1.0	0.02	1	0.02	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_4abz_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_ala__D_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_alaala_e	0.1428571428571428	0.03	1	0.0042857142857142	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_etha_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_fe3_e	0.1428571428571428	0.26	1	0.0371428571428571	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_for_e	0.1428571428571428	0.16	1	0.0228571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_gsn_e	0.1428571428571428	0.04	1	0.0057142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_h2s_e	0.1428571428571428	0.32	1	0.0457142857142857	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_h_e	0.1428571428571428	0.01	1	0.0014285714285714	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_indole_e	0.1428571428571428	1.0	1	0.1428571428571428	945.P11.B6.lane3.NoIndex.L003
all	minimal	Alistipes_finegoldii_DSM_17242_	Oxalobacter_formigenes_HOxBLS_	M_nh4_e	0.1428571428571428	0.02	1	0.0028571428571428	945.P11.B6.lane3.NoIndex.L003
