community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_acald_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_arab__L_e	1.0	0.03	1	0.03	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_cys__L_e	1.0	0.99	1	0.99	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_glyc_e	1.0	0.02	1	0.02	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_h2s_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_h_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_indole_e	1.0	0.03	1	0.03	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_nh4_e	1.0	0.03	1	0.03	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_orn_e	1.0	0.02	1	0.02	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Bacteroides_cellulosilyticus_WH2_	M_ura_e	1.0	0.04	1	0.04	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_acald_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_h2s_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_h_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_indole_e	1.0	0.03	1	0.03	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_leu__L_e	1.0	0.01	1	0.01	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_nh4_e	1.0	0.03	1	0.03	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_o2_e	1.0	1.0	1	1.0	945.P11.F9.lane3.NoIndex.L003
all	minimal	Alistipes_timonensis_JC136_DSM_25383_	Helicobacter_winghamensis_ATCC_BAA_430_	M_orn_e	1.0	0.02	1	0.02	945.P11.F9.lane3.NoIndex.L003
