community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_alaala_e	0.1538461538461538	0.02	1	0.003076923076923	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_anhgm_e	0.1538461538461538	1.0	1	0.1538461538461538	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_etha_e	0.1538461538461538	0.01	1	0.0015384615384615	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_fe3pyovd_kt_e	0.1538461538461538	0.36	1	0.0553846153846153	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_glyc3p_e	0.1538461538461538	0.69	1	0.1061538461538461	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_glyc_e	0.1538461538461538	0.23	1	0.0353846153846153	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_h2s_e	0.1538461538461538	0.29	1	0.0446153846153846	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_h_e	0.1538461538461538	0.02	1	0.003076923076923	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_indole_e	0.1538461538461538	1.0	1	0.1538461538461538	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_nh4_e	0.1538461538461538	0.02	1	0.003076923076923	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Alistipes_timonensis_JC136_DSM_25383_	M_rib__D_e	0.1538461538461538	0.01	1	0.0015384615384615	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_arg__L_e	0.5384615384615384	1.0	1	0.5384615384615384	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_etoh_e	0.5384615384615384	0.31	1	0.1669230769230769	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_fe2_e	0.5384615384615384	0.66	1	0.3553846153846154	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_fe3pyovd_kt_e	0.5384615384615384	0.36	1	0.1938461538461538	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_gal_e	0.5384615384615384	0.04	1	0.0215384615384615	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_glyald_e	0.5384615384615384	0.13	1	0.0699999999999999	945.P12.C1.lane3.NoIndex.L003
all	minimal	Alistipes_obesi_	Bacillus_humi_DSM_16318_	M_glyc3p_e	0.5384615384615384	0.69	1	0.3715384615384615	945.P12.C1.lane3.NoIndex.L003
